No.,Description,Product Group Code,Inventory Posting Group,Sales (Qty.),Sales (Qty.) - Year,Quantity on Hand,Unit Price
SK8-60SBS3,8 inch 304 stainless curved-top stack 60 inch long,CHROME,PIPE,424,20,353,343.05
SK8-60EXC,8 inch chrome curved-top stack 60 inch long,MUFFLER,PIPE,0,38,172,125.18
SK8-60EXA,8 inch aluminized curved-top stack 60 inch long,MUFFLER,PIPE,517,80,329,369.17
SK8-60XBA,8 inch aluminized curved-top stack 60 inch long,HARDWARE,PIPE,320,119,203,215.54
SK8-72SBC,8 inch chrome curved-top stack 72 inch long,CLAMP,PIPE,0,69,293,31.92
SK8-72SBA,8 inch aluminized curved-top stack 72 inch long,HARDWARE,PIPE,91,54,394,468.98
SK8-72EXC,8 inch chrome curved-top stack 72 inch long,CHROME,PIPE,282,76,275,403.43
SK8-72EXS3,8 inch 304 stainless curved-top stack 72 inch long,CHROME,PIPE,482,100,274,120.18
SK8-72XBS,8 inch stainless curved-top stack 72 inch long,PIPE,PIPE,324,100,100,152.88
SK8-84SBC,8 inch chrome curved-top stack 84 inch long,HARDWARE,PIPE,74,110,254,415.89
SK8-84SBA,8 inch aluminized curved-top stack 84 inch long,PIPE,PIPE,35,28,49,313.46
SK8-84SBS3,8 inch 304 stainless curved-top stack 84 inch long,ELBOW,PIPE,136,75,184,269.3
SK8-84SBS,8 inch stainless curved-top stack 84 inch long,CHROME,PIPE,286,112,365,290.1
SK8-84EXS3,8 inch 304 stainless curved-top stack 84 inch long,ELBOW,PIPE,0,100,230,329.19
SK8-84EXS,8 inch stainless curved-top stack 84 inch long,CHROME,PIPE,271,86,26,135.72
SK8-84XBA,8 inch aluminized curved-top stack 84 inch long,ELBOW,PIPE,0,86,76,388.32
SK8-84XBS,8 inch stainless curved-top stack 84 inch long,CLAMP,PIPE,260,88,161,22.0
SK8-96SBA,8 inch aluminized curved-top stack 96 inch long,PIPE,PIPE,486,30,11,0.0
SK8-96SBS,8 inch stainless curved-top stack 96 inch long,MUFFLER,PIPE,130,63,337,251.6
SK8-96EXS3,8 inch 304 stainless curved-top stack 96 inch long,ELBOW,PIPE,442,66,385,0.0
SK8-96EXS,8 inch stainless curved-top stack 96 inch long,HARDWARE,PIPE,0,34,179,91.38
SK8-96XBC,8 inch chrome curved-top stack 96 inch long,CLAMP,PIPE,245,46,385,92.13
SK8-96XBA,8 inch aluminized curved-top stack 96 inch long,PIPE,PIPE,348,20,172,86.58
SK8-96XBS,8 inch stainless curved-top stack 96 inch long,HARDWARE,PIPE,478,100,56,467.85
D3-12EXC,3 inch chrome dump stack 12 inch long,ELBOW,PIPE,476,113,149,476.82
D3-12EXA,3 inch aluminized dump stack 12 inch long,HARDWARE,PIPE,0,30,238,17.98
D3-12XBC,3 inch chrome dump stack 12 inch long,ELBOW,PIPE,0,120,274,347.85
D3-18SBC,3 inch chrome dump stack 18 inch long,PROPRIETAR,PIPE,277,87,77,19.45
D3-18SBS3,3 inch 304 stainless dump stack 18 inch long,HARDWARE,PIPE,538,87,180,452.4
D3-18EXSC,Dodge part / bracket,ELBOW,PIPE,441,97,355,306.94
D3-18EXS3,3 inch 304 stainless dump stack 18 inch long,PROPRIETAR,PIPE,587,86,13,374.9
D3-18XBA,3 inch aluminized dump stack 18 inch long,CLAMP,PIPE,136,76,285,391.1
D3-18XBS3,3 inch 304 stainless dump stack 18 inch long,CLAMP,PIPE,17,13,101,198.6
D3-18XBS,3 inch stainless dump stack 18 inch long,ELBOW,PIPE,31,117,146,300.27
D3-24SBA,3 inch aluminized dump stack 24 inch long,MUFFLER,PIPE,0,43,178,470.55
D3-24SBS3,3 inch 304 stainless dump stack 24 inch long,CHROME,PIPE,294,55,153,392.42
D3-24SBS,3 inch stainless dump stack 24 inch long,HARDWARE,PIPE,375,70,222,273.42
D3-24EXSC,Dodge part / bracket,HARDWARE,PIPE,292,29,354,286.0
D3-24EXS,3 inch stainless dump stack 24 inch long,CHROME,PIPE,207,90,400,292.43
D3-24XBC,3 inch chrome dump stack 24 inch long,CHROME,OBSOLETE,253,75,27,0.0
D3-24XBSC,Dodge part / bracket,CLAMP,PIPE,429,4,104,54.22
D3-24XBS,3 inch stainless dump stack 24 inch long,ELBOW,PIPE,447,67,23,476.23
D3-30SBC,3 inch chrome dump stack 30 inch long,MUFFLER,PIPE,0,110,240,0.0
D3-30EXA,3 inch aluminized dump stack 30 inch long,PIPE,PIPE,487,99,186,194.67
D3-30EXSC,Dodge part / bracket,MUFFLER,PIPE,189,77,203,122.91
D3-30EXS3,3 inch 304 stainless dump stack 30 inch long,CHROME,PIPE,0,25,247,89.85
D3-30XBS3,3 inch 304 stainless dump stack 30 inch long,CLAMP,PIPE,51,26,189,363.51
D3-30XBS,3 inch stainless dump stack 30 inch long,BATTERY,BATTERY,296,101,273,280.14
D3-36SBA,3 inch aluminized dump stack 36 inch long,HARDWARE,PIPE,571,93,179,434.27
D3-36EXSC,Dodge part / bracket,CHROME,PIPE,75,40,96,228.08
D3-36EXS,3 inch stainless dump stack 36 inch long,CLAMP,PIPE,0,52,218,290.91
D3-36XBC,3 inch chrome dump stack 36 inch long,CLAMP,PIPE,167,96,385,100.74
D3-36XBS3,3 inch 304 stainless dump stack 36 inch long,PIPE,PIPE,71,63,391,0.0
D3-36XBS,3 inch stainless dump stack 36 inch long,HARDWARE,PIPE,202,38,390,386.36
D3-42SBC,3 inch chrome dump stack 42 inch long,BATTERY,BATTERY,0,99,245,123.18
D3-42SBA,3 inch aluminized dump stack 42 inch long,CLAMP,PIPE,73,62,387,220.45
D3-42SBSC,Dodge part / bracket,CLAMP,PIPE,0,7,310,0.0
D3-42SBS3,3 inch 304 stainless dump stack 42 inch long,ELBOW,PIPE,103,13,311,63.58
D3-42EXS,3 inch stainless dump stack 42 inch long,PIPE,PIPE,222,95,298,0.0
D3-42XBS,3 inch stainless dump stack 42 inch long,ELBOW,PIPE,486,53,38,240.79
D3-48SBC,3 inch chrome dump stack 48 inch long,PROPRIETAR,PIPE,0,59,305,176.13
D3-48SBA,3 inch aluminized dump stack 48 inch long,CHROME,PIPE,196,111,80,294.1
D3-48EXA,3 inch aluminized dump stack 48 inch long,PIPE,PIPE,248,64,198,293.98
D3-48EXSC,Dodge part / bracket,CHROME,PIPE,397,38,386,180.84
D3-48EXS3,3 inch 304 stainless dump stack 48 inch long,MUFFLER,PIPE,309,43,58,192.86
D3-54SBS3,3 inch 304 stainless dump stack 54 inch long,CLAMP,PIPE,71,21,101,422.08
D3-54SBS,3 inch stainless dump stack 54 inch long,PIPE,PIPE,91,4,189,129.99
D3-54EXS3,3 inch 304 stainless dump stack 54 inch long,PIPE,PIPE,82,42,308,70.65
D3-54XBC,3 inch chrome dump stack 54 inch long,CHROME,PIPE,328,19,129,71.43
D3-54XBA,3 inch aluminized dump stack 54 inch long,ELBOW,PIPE,128,98,308,226.4
D3-54XBS3,3 inch 304 stainless dump stack 54 inch long,ELBOW,PIPE,0,9,380,49.72
D3-60SBA,3 inch aluminized dump stack 60 inch long,ELBOW,PIPE,443,44,106,0.0
D3-60SBSC,Dodge part / bracket,HARDWARE,PIPE,517,18,97,0.0
D3-60SBS3,3 inch 304 stainless dump stack 60 inch long,PIPE,PIPE,180,75,320,172.57
D3-60EXC,3 inch chrome dump stack 60 inch long,CLAMP,PIPE,0,11,45,362.39
D3-60EXA,3 inch aluminized dump stack 60 inch long,MUFFLER,PIPE,155,119,355,90.28
D3-60EXS3,3 inch 304 stainless dump stack 60 inch long,HARDWARE,PIPE,520,41,169,443.69
D3-60XBC,3 inch chrome dump stack 60 inch long,MUFFLER,PIPE,337,98,389,213.13
D3-60XBA,3 inch aluminized dump stack 60 inch long,MUFFLER,PIPE,224,80,273,198.13
D3-60XBS,3 inch stainless dump stack 60 inch long,ELBOW,PIPE,148,84,83,307.29
D3-72SBC,3 inch chrome dump stack 72 inch long,PIPE,PIPE,553,115,127,169.04
D3-72SBA,3 inch aluminized dump stack 72 inch long,CHROME,PIPE,0,81,234,188.66
D3-72SBSC,Dodge part / bracket,CHROME,PIPE,196,102,351,29.13
D3-72SBS3,3 inch 304 stainless dump stack 72 inch long,ELBOW,PIPE,63,37,276,243.35
D3-72XBA,3 inch aluminized dump stack 72 inch long,CLAMP,PIPE,0,36,302,470.13
D3-72XBS,3 inch stainless dump stack 72 inch long,PIPE,PIPE,304,7,143,129.81
D3-84SBA,3 inch aluminized dump stack 84 inch long,ELBOW,PIPE,515,39,253,94.75
D3-84SBS3,3 inch 304 stainless dump stack 84 inch long,HARDWARE,PIPE,396,18,168,421.76
D3-84EXA,3 inch aluminized dump stack 84 inch long,PROPRIETAR,PIPE,372,85,118,202.59
D3-84EXS3,3 inch 304 stainless dump stack 84 inch long,HARDWARE,PIPE,336,43,362,162.0
D3-84XBC,3 inch chrome dump stack 84 inch long,PIPE,PIPE,75,108,64,211.24
D3-84XBSC,Dodge part / bracket,CHROME,PIPE,521,38,289,357.78
D3-84XBS,3 inch stainless dump stack 84 inch long,PIPE,PIPE,10,43,72,204.59
D3-96SBA,3 inch aluminized dump stack 96 inch long,MUFFLER,PIPE,325,6,135,35.29
D3-96SBSC,Dodge part / bracket,PROPRIETAR,OBSOLETE,0,83,394,225.33
D3-96EXA,3 inch aluminized dump stack 96 inch long,MUFFLER,PIPE,195,24,343,455.3
D3-96EXS,3 inch stainless dump stack 96 inch long,ELBOW,PIPE,254,45,199,93.06
D3-96XBA,3 inch aluminized dump stack 96 inch long,CHROME,PIPE,0,40,228,118.74
D3-96XBS3,3 inch 304 stainless dump stack 96 inch long,ELBOW,PIPE,554,29,357,0.0
D3-96XBS,3 inch stainless dump stack 96 inch long,MUFFLER,PIPE,456,76,32,0.0
D3.5-12SBC,3.5 inch chrome dump stack 12 inch long,CLAMP,PIPE,104,63,195,369.48
D3.5-12SBS3,3.5 inch 304 stainless dump stack 12 inch long,PIPE,PIPE,308,20,114,238.6
D3.5-12SBS,3.5 inch stainless dump stack 12 inch long,CHROME,PIPE,360,4,154,12.31
D3.5-12EXA,3.5 inch aluminized dump stack 12 inch long,PIPE,PIPE,3,15,182,294.74
D3.5-12EXS3,3.5 inch 304 stainless dump stack 12 inch long,HARDWARE,PIPE,425,54,170,42.11
D3.5-12EXS,3.5 inch stainless dump stack 12 inch long,MUFFLER,PIPE,527,31,259,152.26
D3.5-18EXS3,3.5 inch 304 stainless dump stack 18 inch long,PROPRIETAR,PIPE,0,84,310,440.45
D3.5-18EXS,3.5 inch stainless dump stack 18 inch long,HARDWARE,PIPE,256,35,337,349.66
D3.5-18XBC,3.5 inch chrome dump stack 18 inch long,CLAMP,PIPE,232,110,292,407.05
D3.5-18XBA,3.5 inch aluminized dump stack 18 inch long,HARDWARE,PIPE,286,56,218,424.48
D3.5-18XBS,3.5 inch stainless dump stack 18 inch long,PIPE,PIPE,413,30,306,414.95
D3.5-24SBS,3.5 inch stainless dump stack 24 inch long,HARDWARE,PIPE,571,60,353,254.84
D3.5-24EXC,3.5 inch chrome dump stack 24 inch long,PIPE,PIPE,359,84,81,264.76
D3.5-24XBS3,3.5 inch 304 stainless dump stack 24 inch long,MUFFLER,PIPE,0,116,310,453.89
D3.5-24XBS,3.5 inch stainless dump stack 24 inch long,CHROME,PIPE,0,85,273,189.94
D3.5-30SBC,3.5 inch chrome dump stack 30 inch long,PROPRIETAR,PIPE,24,74,351,266.2
D3.5-30SBS,3.5 inch stainless dump stack 30 inch long,MUFFLER,PIPE,170,28,156,147.12
D3.5-30EXC,3.5 inch chrome dump stack 30 inch long,MUFFLER,PIPE,158,51,30,390.33
D3.5-30EXS,3.5 inch stainless dump stack 30 inch long,ELBOW,PIPE,106,114,269,270.98
D3.5-30XBA,3.5 inch aluminized dump stack 30 inch long,ELBOW,PIPE,372,105,397,68.7
D3.5-30XBS3,3.5 inch 304 stainless dump stack 30 inch long,MUFFLER,PIPE,168,5,52,53.3
D3.5-30XBS,3.5 inch stainless dump stack 30 inch long,MUFFLER,PIPE,472,29,49,289.27
D3.5-36SBC,3.5 inch chrome dump stack 36 inch long,BATTERY,BATTERY,259,12,232,457.45
D3.5-36SBS,3.5 inch stainless dump stack 36 inch long,CLAMP,PIPE,492,95,281,411.4
D3.5-36EXC,3.5 inch chrome dump stack 36 inch long,PIPE,PIPE,99,66,328,0.0
D3.5-36EXS3,3.5 inch 304 stainless dump stack 36 inch long,HARDWARE,PIPE,167,34,371,187.03
D3.5-36XBC,3.5 inch chrome dump stack 36 inch long,PIPE,PIPE,399,70,362,323.28
D3.5-36XBA,3.5 inch aluminized dump stack 36 inch long,CHROME,PIPE,585,19,189,318.86
D3.5-42SBS,3.5 inch stainless dump stack 42 inch long,MUFFLER,PIPE,328,83,289,238.06
D3.5-42EXC,3.5 inch chrome dump stack 42 inch long,ELBOW,PIPE,75,85,224,425.45
D3.5-42EXS,3.5 inch stainless dump stack 42 inch long,CHROME,PIPE,174,16,217,327.16
D3.5-42XBS3,3.5 inch 304 stainless dump stack 42 inch long,HARDWARE,PIPE,347,6,213,0.0
D3.5-48SBA,3.5 inch aluminized dump stack 48 inch long,PIPE,PIPE,229,54,123,0.0
D3.5-48EXC,3.5 inch chrome dump stack 48 inch long,PROPRIETAR,OBSOLETE,84,118,222,22.29
D3.5-48EXA,3.5 inch aluminized dump stack 48 inch long,HARDWARE,PIPE,564,96,13,0.0
D3.5-48EXS3,3.5 inch 304 stainless dump stack 48 inch long,ELBOW,PIPE,416,2,214,204.84
D3.5-48EXS,3.5 inch stainless dump stack 48 inch long,HARDWARE,PIPE,111,120,83,455.23
D3.5-48XBS3,3.5 inch 304 stainless dump stack 48 inch long,ELBOW,PIPE,178,106,137,129.28
D3.5-54SBS,3.5 inch stainless dump stack 54 inch long,MUFFLER,PIPE,24,81,121,101.06
D3.5-54EXA,3.5 inch aluminized dump stack 54 inch long,HARDWARE,PIPE,289,91,205,90.33
D3.5-54EXS,3.5 inch stainless dump stack 54 inch long,CHROME,PIPE,278,71,72,104.84
D3.5-54XBS,3.5 inch stainless dump stack 54 inch long,PIPE,PIPE,59,49,158,288.97
D3.5-60SBC,3.5 inch chrome dump stack 60 inch long,PIPE,PIPE,327,52,264,245.37
D3.5-60EXS3,3.5 inch 304 stainless dump stack 60 inch long,ELBOW,PIPE,573,9,322,281.08
D3.5-60XBC,3.5 inch chrome dump stack 60 inch long,ELBOW,PIPE,360,77,81,291.17
D3.5-72SBC,3.5 inch chrome dump stack 72 inch long,MUFFLER,PIPE,76,120,92,220.14
D3.5-72SBS,3.5 inch stainless dump stack 72 inch long,CLAMP,PIPE,528,112,118,270.02
D3.5-72EXC,3.5 inch chrome dump stack 72 inch long,MUFFLER,PIPE,89,79,385,201.72
D3.5-72EXA,3.5 inch aluminized dump stack 72 inch long,CHROME,PIPE,162,113,284,303.17
D3.5-72EXS3,3.5 inch 304 stainless dump stack 72 inch long,MUFFLER,PIPE,591,57,222,126.82
D3.5-72XBS3,3.5 inch 304 stainless dump stack 72 inch long,CLAMP,PIPE,520,100,318,467.22
D3.5-72XBS,3.5 inch stainless dump stack 72 inch long,CHROME,PIPE,464,67,36,197.52
D3.5-84SBA,3.5 inch aluminized dump stack 84 inch long,MUFFLER,PIPE,0,53,1,348.7
D3.5-84EXA,3.5 inch aluminized dump stack 84 inch long,PIPE,PIPE,0,15,306,459.7
D3.5-84XBC,3.5 inch chrome dump stack 84 inch long,CLAMP,PIPE,154,28,230,90.51
D3.5-84XBS3,3.5 inch 304 stainless dump stack 84 inch long,MUFFLER,PIPE,551,22,177,80.74
D3.5-96SBS3,3.5 inch 304 stainless dump stack 96 inch long,MUFFLER,PIPE,104,56,104,351.89
D3.5-96EXA,3.5 inch aluminized dump stack 96 inch long,HARDWARE,PIPE,557,67,323,123.22
D3.5-96EXS,3.5 inch stainless dump stack 96 inch long,BATTERY,BATTERY,58,48,339,228.56
D3.5-96XBS3,3.5 inch 304 stainless dump stack 96 inch long,CHROME,PIPE,199,90,210,224.64
D3.5-96XBS,3.5 inch stainless dump stack 96 inch long,MUFFLER,PIPE,43,117,36,12.06
D4-12SBA,4 inch aluminized dump stack 12 inch long,ELBOW,PIPE,0,85,116,444.73
D4-12SBSC,Dodge part / bracket,ELBOW,PIPE,0,64,255,74.1
D4-12SBS,4 inch stainless dump stack 12 inch long,CLAMP,PIPE,65,111,159,72.67
D4-12EXC,4 inch chrome dump stack 12 inch long,PIPE,PIPE,515,111,30,314.9
D4-12EXA,4 inch aluminized dump stack 12 inch long,HARDWARE,PIPE,164,83,70,399.13
D4-12EXS,4 inch stainless dump stack 12 inch long,ELBOW,PIPE,0,63,335,276.96
D4-12XBA,4 inch aluminized dump stack 12 inch long,CLAMP,PIPE,381,15,82,256.41
D4-12XBSC,Dodge part / bracket,CHROME,PIPE,28,93,85,394.87
D4-12XBS3,4 inch 304 stainless dump stack 12 inch long,ELBOW,PIPE,122,53,111,57.75
D4-12XBS,4 inch stainless dump stack 12 inch long,CHROME,PIPE,0,57,181,129.11
D4-18SBSC,Dodge part / bracket,MUFFLER,PIPE,120,86,138,174.83
D4-18EXC,4 inch chrome dump stack 18 inch long,CLAMP,PIPE,6,56,279,440.05
D4-18EXSC,Dodge part / bracket,CLAMP,PIPE,0,46,348,167.76
D4-18EXS,4 inch stainless dump stack 18 inch long,CHROME,OBSOLETE,591,48,172,103.83
D4-18XBC,4 inch chrome dump stack 18 inch long,ELBOW,PIPE,340,99,266,174.0
D4-18XBSC,Dodge part / bracket,CHROME,PIPE,0,1,400,303.35
D4-18XBS,4 inch stainless dump stack 18 inch long,CHROME,PIPE,0,71,65,348.48
D4-24SBC,4 inch chrome dump stack 24 inch long,ELBOW,PIPE,472,33,252,212.88
D4-24SBSC,Dodge part / bracket,CHROME,PIPE,0,75,294,46.79
D4-24SBS,4 inch stainless dump stack 24 inch long,PIPE,PIPE,302,88,76,103.64
D4-24EXSC,Dodge part / bracket,HARDWARE,PIPE,64,45,319,120.33
D4-24EXS3,4 inch 304 stainless dump stack 24 inch long,MUFFLER,PIPE,36,46,336,17.37
D4-24EXS,4 inch stainless dump stack 24 inch long,CHROME,PIPE,0,52,197,347.82
D4-24XBSC,Dodge part / bracket,CLAMP,PIPE,290,37,20,459.96
D4-30SBC,4 inch chrome dump stack 30 inch long,MUFFLER,PIPE,490,2,309,181.73
D4-30SBSC,Dodge part / bracket,CLAMP,PIPE,0,41,375,15.26
D4-30SBS3,4 inch 304 stainless dump stack 30 inch long,ELBOW,PIPE,383,89,299,458.12
D4-30SBS,4 inch stainless dump stack 30 inch long,CHROME,OBSOLETE,504,106,203,294.63
D4-30EXA,4 inch aluminized dump stack 30 inch long,ELBOW,PIPE,207,90,182,85.78
D4-30EXSC,Dodge part / bracket,PIPE,PIPE,461,116,281,440.3
D4-30XBC,4 inch chrome dump stack 30 inch long,CHROME,PIPE,128,45,115,139.34
D4-30XBA,4 inch aluminized dump stack 30 inch long,CLAMP,PIPE,0,73,184,448.03
D4-36SBS3,4 inch 304 stainless dump stack 36 inch long,PIPE,PIPE,176,64,178,64.29
D4-36EXSC,Dodge part / bracket,HARDWARE,PIPE,237,72,259,52.57
D4-36EXS,4 inch stainless dump stack 36 inch long,PIPE,PIPE,294,87,235,156.85
D4-36XBSC,Dodge part / bracket,PIPE,PIPE,491,61,185,0.0
D4-36XBS,4 inch stainless dump stack 36 inch long,ELBOW,PIPE,175,41,182,227.13
D4-42SBA,4 inch aluminized dump stack 42 inch long,PROPRIETAR,OBSOLETE,250,39,329,104.85
D4-42SBS,4 inch stainless dump stack 42 inch long,ELBOW,PIPE,120,78,113,376.43
D4-42EXA,4 inch aluminized dump stack 42 inch long,CHROME,PIPE,372,67,210,94.99
D4-42XBC,4 inch chrome dump stack 42 inch long,PIPE,PIPE,398,76,38,124.67
D4-42XBS,4 inch stainless dump stack 42 inch long,MUFFLER,PIPE,0,81,151,260.5
D4-48EXC,4 inch chrome dump stack 48 inch long,PROPRIETAR,PIPE,0,103,332,0.0
D4-48EXSC,Dodge part / bracket,MUFFLER,PIPE,171,43,34,124.1
D4-48EXS3,4 inch 304 stainless dump stack 48 inch long,PROPRIETAR,PIPE,254,64,34,302.88
D4-48XBS3,4 inch 304 stainless dump stack 48 inch long,CHROME,OBSOLETE,109,20,364,0.0
D4-54SBSC,Dodge part / bracket,MUFFLER,PIPE,359,6,32,388.63
D4-54EXSC,Dodge part / bracket,ELBOW,PIPE,502,55,185,402.42
D4-54EXS3,4 inch 304 stainless dump stack 54 inch long,PIPE,PIPE,421,117,288,21.4
D4-54XBC,4 inch chrome dump stack 54 inch long,PIPE,PIPE,0,117,236,192.29
D4-60SBA,4 inch aluminized dump stack 60 inch long,PROPRIETAR,PIPE,0,67,218,292.84
D4-60SBS3,4 inch 304 stainless dump stack 60 inch long,ELBOW,PIPE,427,106,231,394.06
D4-60SBS,4 inch stainless dump stack 60 inch long,BATTERY,BATTERY,167,11,322,174.76
D4-60EXSC,Dodge part / bracket,CLAMP,PIPE,195,94,261,299.07
D4-60EXS3,4 inch 304 stainless dump stack 60 inch long,PIPE,PIPE,222,29,138,245.63
D4-60XBC,4 inch chrome dump stack 60 inch long,CLAMP,PIPE,175,38,241,217.23
D4-60XBSC,Dodge part / bracket,PIPE,PIPE,13,48,88,42.51
D4-72SBC,4 inch chrome dump stack 72 inch long,HARDWARE,PIPE,256,10,38,349.63
D4-72SBSC,Dodge part / bracket,PIPE,PIPE,305,36,292,226.54
D4-72SBS3,4 inch 304 stainless dump stack 72 inch long,HARDWARE,PIPE,515,109,231,133.89
D4-72EXS,4 inch stainless dump stack 72 inch long,PIPE,PIPE,269,95,196,207.5
D4-72XBC,4 inch chrome dump stack 72 inch long,BATTERY,BATTERY,60,29,393,420.14
D4-72XBS3,4 inch 304 stainless dump stack 72 inch long,CLAMP,PIPE,87,47,4,69.5
D4-84SBS,4 inch stainless dump stack 84 inch long,ELBOW,PIPE,308,94,352,308.29
D4-84EXC,4 inch chrome dump stack 84 inch long,HARDWARE,PIPE,405,28,299,269.37
D4-84EXA,4 inch aluminized dump stack 84 inch long,CHROME,PIPE,84,62,370,300.91
D4-84EXS3,4 inch 304 stainless dump stack 84 inch long,ELBOW,PIPE,30,71,83,108.1
D4-84EXS,4 inch stainless dump stack 84 inch long,HARDWARE,PIPE,442,90,308,87.97
D4-84XBA,4 inch aluminized dump stack 84 inch long,BATTERY,BATTERY,51,67,102,335.49
D4-84XBSC,Dodge part / bracket,ELBOW,PIPE,312,89,94,213.98
D4-84XBS,4 inch stainless dump stack 84 inch long,CHROME,PIPE,570,52,395,65.55
D4-96SBC,4 inch chrome dump stack 96 inch long,ELBOW,PIPE,163,45,190,374.61
D4-96SBA,4 inch aluminized dump stack 96 inch long,ELBOW,PIPE,495,108,372,234.62
D4-96SBS,4 inch stainless dump stack 96 inch long,MUFFLER,PIPE,477,73,285,20.05
D4-96EXS3,4 inch 304 stainless dump stack 96 inch long,CHROME,PIPE,534,93,283,339.68
D4-96EXS,4 inch stainless dump stack 96 inch long,ELBOW,PIPE,584,102,184,0.0
D4-96XBC,4 inch chrome dump stack 96 inch long,CLAMP,PIPE,321,107,65,54.39
D4-96XBS,4 inch stainless dump stack 96 inch long,BATTERY,BATTERY,213,79,212,0.0
D5-12EXS,5 inch stainless dump stack 12 inch long,CLAMP,PIPE,488,112,285,379.93
D5-12XBSC,Dodge part / bracket,HARDWARE,PIPE,0,12,298,110.24
D5-18SBSC,Dodge part / bracket,PROPRIETAR,OBSOLETE,475,67,110,324.44
D5-18XBC,5 inch chrome dump stack 18 inch long,HARDWARE,PIPE,250,48,85,289.13
D5-18XBA,5 inch aluminized dump stack 18 inch long,HARDWARE,PIPE,0,94,261,214.99
D5-18XBS,5 inch stainless dump stack 18 inch long,HARDWARE,PIPE,0,103,376,301.13
D5-24SBA,5 inch aluminized dump stack 24 inch long,CHROME,PIPE,103,76,193,434.23
D5-24SBS,5 inch stainless dump stack 24 inch long,ELBOW,PIPE,0,63,281,315.41
D5-24EXS3,5 inch 304 stainless dump stack 24 inch long,CHROME,PIPE,184,101,130,393.78
D5-24XBS3,5 inch 304 stainless dump stack 24 inch long,HARDWARE,PIPE,442,116,177,159.99
D5-30SBA,5 inch aluminized dump stack 30 inch long,PIPE,PIPE,259,83,18,52.62
D5-30SBS3,5 inch 304 stainless dump stack 30 inch long,MUFFLER,PIPE,576,67,310,71.78
D5-30EXSC,Dodge part / bracket,CHROME,PIPE,286,80,235,89.67
D5-30EXS3,5 inch 304 stainless dump stack 30 inch long,ELBOW,PIPE,522,65,320,324.05
D5-30XBC,5 inch chrome dump stack 30 inch long,ELBOW,PIPE,285,30,304,448.66
D5-30XBA,5 inch aluminized dump stack 30 inch long,HARDWARE,PIPE,357,77,392,68.51
D5-30XBS3,5 inch 304 stainless dump stack 30 inch long,MUFFLER,PIPE,392,8,139,84.11
D5-30XBS,5 inch stainless dump stack 30 inch long,CLAMP,PIPE,494,37,170,172.56
D5-36SBC,5 inch chrome dump stack 36 inch long,MUFFLER,PIPE,427,84,141,68.9
D5-36EXA,5 inch aluminized dump stack 36 inch long,PIPE,PIPE,526,22,294,44.95
D5-36EXSC,Dodge part / bracket,CHROME,PIPE,78,64,184,360.79
D5-36EXS3,5 inch 304 stainless dump stack 36 inch long,HARDWARE,PIPE,82,113,263,162.87
D5-36XBC,5 inch chrome dump stack 36 inch long,MUFFLER,PIPE,212,116,364,386.05
D5-36XBA,5 inch aluminized dump stack 36 inch long,MUFFLER,PIPE,387,65,275,153.48
D5-36XBSC,Dodge part / bracket,HARDWARE,PIPE,242,38,76,18.53
D5-42SBA,5 inch aluminized dump stack 42 inch long,ELBOW,PIPE,0,77,8,375.19
D5-42XBC,5 inch chrome dump stack 42 inch long,HARDWARE,PIPE,45,75,144,185.57
D5-42XBSC,Dodge part / bracket,CHROME,PIPE,401,73,155,389.87
D5-42XBS3,5 inch 304 stainless dump stack 42 inch long,CHROME,PIPE,310,76,303,259.04
D5-48SBS,5 inch stainless dump stack 48 inch long,PIPE,PIPE,11,108,228,365.15
D5-48EXS,5 inch stainless dump stack 48 inch long,PIPE,PIPE,395,91,37,247.21
D5-48XBS,5 inch stainless dump stack 48 inch long,ELBOW,PIPE,520,101,93,0.0
D5-54SBA,5 inch aluminized dump stack 54 inch long,PIPE,PIPE,350,46,395,140.6
D5-54SBSC,Dodge part / bracket,PIPE,PIPE,161,21,372,43.97
D5-54SBS3,5 inch 304 stainless dump stack 54 inch long,PIPE,PIPE,173,105,198,66.71
D5-54SBS,5 inch stainless dump stack 54 inch long,HARDWARE,PIPE,0,87,194,20.49
D5-54XBA,5 inch aluminized dump stack 54 inch long,PIPE,PIPE,29,48,198,478.09
D5-60SBC,5 inch chrome dump stack 60 inch long,ELBOW,PIPE,240,14,304,333.46
D5-60SBS3,5 inch 304 stainless dump stack 60 inch long,CLAMP,PIPE,338,71,12,75.69
D5-60XBA,5 inch aluminized dump stack 60 inch long,PIPE,PIPE,357,12,326,240.55
D5-60XBSC,Dodge part / bracket,ELBOW,PIPE,233,32,318,15.73
D5-72SBC,5 inch chrome dump stack 72 inch long,MUFFLER,PIPE,0,11,370,133.46
D5-72SBS3,5 inch 304 stainless dump stack 72 inch long,MUFFLER,PIPE,382,40,310,179.64
D5-72SBS,5 inch stainless dump stack 72 inch long,MUFFLER,PIPE,473,87,156,244.07
D5-72EXA,5 inch aluminized dump stack 72 inch long,CHROME,PIPE,199,28,108,114.09
D5-72EXSC,Dodge part / bracket,CHROME,PIPE,295,113,321,306.66
D5-72XBC,5 inch chrome dump stack 72 inch long,HARDWARE,PIPE,239,98,303,72.47
D5-72XBA,5 inch aluminized dump stack 72 inch long,CLAMP,PIPE,593,13,377,37.64
D5-72XBSC,Dodge part / bracket,CHROME,PIPE,251,97,215,329.67
